epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,14919.5,0.70194,0.6514,1.12231,0.64804,0.63307,0.62248,0.43279,1.29987,1.35956,1.65312,0.000580174,0.000580174,0.000580174
122,15027.8,0.68722,0.63629,1.12064,0.66517,0.59449,0.60949,0.42571,1.35447,1.43563,1.70447,0.0005731,0.0005731,0.0005731
123,15146.6,0.67505,0.64524,1.1171,0.69975,0.61249,0.6325,0.43536,1.36806,1.33834,1.70925,0.000566027,0.000566027,0.000566027
124,15328.7,0.67323,0.61842,1.103,0.69219,0.58946,0.61368,0.42303,1.39576,1.46483,1.74933,0.000558953,0.000558953,0.000558953
125,15483,0.67764,0.61708,1.10408,0.66276,0.62532,0.61376,0.43569,1.33821,1.36926,1.71831,0.00055188,0.00055188,0.00055188
126,15665.6,0.67932,0.62199,1.11158,0.7252,0.59498,0.63248,0.43737,1.3628,1.36097,1.71262,0.000544806,0.000544806,0.000544806
127,15809.3,0.67432,0.62395,1.10639,0.71382,0.59633,0.6286,0.43863,1.36343,1.3246,1.72346,0.000537733,0.000537733,0.000537733
128,15929.4,0.67391,0.61018,1.10492,0.67528,0.62759,0.62409,0.43618,1.35856,1.3862,1.71294,0.000530659,0.000530659,0.000530659
129,16043.2,0.66519,0.59705,1.10129,0.70466,0.59285,0.6201,0.43113,1.37329,1.44357,1.71855,0.000523586,0.000523586,0.000523586
130,16169,0.67567,0.61244,1.10198,0.68026,0.60796,0.61567,0.42539,1.37493,1.40465,1.72495,0.000516512,0.000516512,0.000516512
131,16283,0.66203,0.60397,1.09981,0.66163,0.62666,0.61726,0.42434,1.38389,1.41426,1.7307,0.000509438,0.000509438,0.000509438
132,16391.1,0.64379,0.58708,1.08323,0.71887,0.59162,0.61425,0.42431,1.37927,1.40934,1.73244,0.000502365,0.000502365,0.000502365
133,16515.1,0.62004,0.57099,1.07941,0.73096,0.59333,0.63537,0.43676,1.37527,1.40331,1.73586,0.000495291,0.000495291,0.000495291
134,16639.6,0.64866,0.59109,1.08808,0.70671,0.60011,0.61954,0.43512,1.35467,1.44016,1.69597,0.000488218,0.000488218,0.000488218
